timestamp,eID,objectVersion,classID,sensorMeasures,sensorConfig,Realtime,Livetime,Spectrum_length,Spectrum_sum,Spectrum_max,Total,Countrate,Cosmics,vT,datetime
1749562280003.0,SPECTRO_4112,,,,,0.201,0.201,512.0,30.0,3.0,30.0,149.0,0.0,1749562280003.0,2025-06-10 13:31:20.003
1749562280204.0,SPECTRO_4112,,,,,0.2,0.2,512.0,23.0,2.0,23.0,115.0,2.0,1749562280204.0,2025-06-10 13:31:20.204
1749562280405.0,SPECTRO_4112,,,,,0.201,0.201,512.0,28.0,3.0,28.0,139.0,0.0,1749562280405.0,2025-06-10 13:31:20.405
1749562280604.0,SPECTRO_4112,,,,,0.199,0.199,512.0,28.0,2.0,28.0,141.0,0.0,1749562280604.0,2025-06-10 13:31:20.604
1749562280805.0,SPECTRO_4112,,,,,0.2,0.2,512.0,28.0,3.0,28.0,140.0,0.0,1749562280805.0,2025-06-10 13:31:20.805
1749562281006.0,SPECTRO_4112,,,,,0.2,0.2,512.0,27.0,2.0,27.0,135.0,0.0,1749562281006.0,2025-06-10 13:31:21.006
1749562281205.0,SPECTRO_4112,,,,,0.199,0.199,512.0,32.0,3.0,32.0,161.0,0.0,1749562281205.0,2025-06-10 13:31:21.205
1749562281411.0,SPECTRO_4112,,,,,0.205,0.205,512.0,41.0,3.0,41.0,200.0,0.0,1749562281411.0,2025-06-10 13:31:21.411
1749562281606.0,SPECTRO_4112,,,,,0.194,0.194,512.0,25.0,2.0,25.0,129.0,0.0,1749562281606.0,2025-06-10 13:31:21.606
1749562281807.0,SPECTRO_4112,,,,,0.201,0.201,512.0,27.0,2.0,27.0,134.0,1.0,1749562281807.0,2025-06-10 13:31:21.807
1749562282007.0,SPECTRO_4112,,,,,0.199,0.199,512.0,15.0,1.0,15.0,75.0,1.0,1749562282007.0,2025-06-10 13:31:22.007
1749562282208.0,SPECTRO_4112,,,,,0.201,0.201,512.0,27.0,3.0,27.0,134.0,0.0,1749562282208.0,2025-06-10 13:31:22.208
1749562282408.0,SPECTRO_4112,,,,,0.2,0.2,512.0,22.0,2.0,22.0,110.0,2.0,1749562282408.0,2025-06-10 13:31:22.408
1749562282609.0,SPECTRO_4112,,,,,0.201,0.201,512.0,26.0,2.0,26.0,129.0,0.0,1749562282609.0,2025-06-10 13:31:22.609
1749562282809.0,SPECTRO_4112,,,,,0.199,0.199,512.0,16.0,1.0,16.0,80.0,1.0,1749562282809.0,2025-06-10 13:31:22.809
1749562283010.0,SPECTRO_4112,,,,,0.2,0.2,512.0,26.0,3.0,26.0,130.0,0.0,1749562283010.0,2025-06-10 13:31:23.010
1749562283209.0,SPECTRO_4112,,,,,0.199,0.199,512.0,22.0,2.0,22.0,111.0,0.0,1749562283209.0,2025-06-10 13:31:23.209
1749562283410.0,SPECTRO_4112,,,,,0.2,0.2,512.0,25.0,2.0,25.0,125.0,1.0,1749562283410.0,2025-06-10 13:31:23.410
1749562283611.0,SPECTRO_4112,,,,,0.2,0.2,512.0,23.0,3.0,23.0,115.0,0.0,1749562283611.0,2025-06-10 13:31:23.611
1749562283812.0,SPECTRO_4112,,,,,0.201,0.201,512.0,26.0,2.0,26.0,129.0,0.0,1749562283812.0,2025-06-10 13:31:23.812
1749562284011.0,SPECTRO_4112,,,,,0.198,0.198,512.0,25.0,3.0,25.0,126.0,0.0,1749562284011.0,2025-06-10 13:31:24.011
1749562284211.0,SPECTRO_4112,,,,,0.199,0.199,512.0,26.0,2.0,26.0,131.0,0.0,1749562284211.0,2025-06-10 13:31:24.211
1749562284412.0,SPECTRO_4112,,,,,0.2,0.2,512.0,23.0,2.0,23.0,115.0,1.0,1749562284412.0,2025-06-10 13:31:24.412
1749562284612.0,SPECTRO_4112,,,,,0.201,0.201,512.0,27.0,2.0,27.0,134.0,1.0,1749562284612.0,2025-06-10 13:31:24.612
