timestamp,lat,lon,Total,Countrate,U238,K40,Th232,Cs137,Height,Press,Temp,Hum
1749563707669,63.790961890488184,9.372796426330709,108,180,66.185,368.01,-0.408,9.622,53.955907086614175,1008.5240099800399,16.23,50.256187624750496
1749563885505,63.79096190163251,9.372793935202537,113,195,1.825,597.321,40.908,-3.64,54.350787701317714,1008.5212295409182,16.76,50.86770459081836
1749563892712,63.79096194160886,9.372793918381504,121,210,44.695,482.989,61.504,-6.999,54.51901011560694,1008.5287441674975,16.79,50.92920239282154
1749563730512,63.79096194636398,9.37279408418774,122,195,90.152,-8.648,27.237,8.421,54.02442643678161,1008.5345365269461,16.301676646706586,50.32
1749563710673,63.7909619628897,9.37279596685294,100,180,-29.522,637.395,51.77,29.935,53.97937058823529,1008.5255409770689,16.24,50.27242273180459
1749563749729,63.7909620110561,9.372792682970296,126,186,7.346,613.262,22.538,57.551,54.1250099009901,1008.5489964071855,16.36,50.36393213572854
1749563718484,63.790962070146556,9.372794448117249,115,155,-48.468,528.005,107.127,7.385,53.986102593010145,1008.5323047904192,16.27,50.28
1749563715479,63.79096208789916,9.372794716590636,125,186,41.368,444.646,41.41,13.866,53.98240576230492,1008.529800997009,16.26,50.27173479561316
1749563701666,63.7909621413897,9.372796671656948,121,170,66.426,472.629,0.646,26.708,53.92232069970845,1008.5183575150301,16.213897795591183,50.24
1749563709471,63.79096215439586,9.372794972865362,109,210,26.176,138.233,45.576,15.989,53.954269275028764,1008.5253640718563,16.24,50.27179640718563
1749563746726,63.79096218280792,9.372792676510263,125,215,84.952,567.24,-19.654,8.842,54.09462463343108,1008.5491313373253,16.35,50.46253493013972
1749563706468,63.79096228118762,9.3727949904408,125,241,1.811,433.914,92.971,-16.219,53.93479016393442,1008.5207870388833,16.23,50.26
1749563695662,63.79096230054363,9.372796729494516,119,234,25.997,697.636,17.862,0.442,54.01071530758226,1008.5211185628742,16.19,50.23
1749563700465,63.790962408541,9.372795328714945,137,201,-20.131,992.769,60.486,-19.752,53.92563684771033,1008.5171758483034,16.21,50.231896207584825
1749563697464,63.7909624152,9.372795683,86,185,25.84,390.2,16.259,-2.404,53.97104,1008.5199087824352,16.2,50.211956087824355
